"","TEAM","CONF","G","W","X2P_O","X2P_D","X3P_O","X3P_D","TOR","TORD"
"1","Gonzaga","WCC",37,33,61.4,43.4,36.3,30.4,14.9,19
"2","Michigan St.","B10",39,32,54.3,41.9,37.8,31.6,18.5,14.9
"3","Purdue","B10",36,26,51.5,47.2,37.4,34.2,15.8,18.6
"4","Wisconsin","B10",34,23,49.7,44.1,35.9,31.5,14.6,17.2
"5","Maryland","B10",34,23,50.8,44.7,34.9,31.9,19.4,14.1
"6","Iowa","B10",35,23,51.4,53.5,36.4,32.4,17.2,18.4
"7","Saint Mary's","WCC",34,22,52.3,49.2,37.8,32.1,16.2,16.3
"8","Ohio St.","B10",35,20,49.7,47.9,34.1,32.7,18.7,18.2
"9","Nebraska","B10",35,19,48.6,46.9,33.4,33.8,14.3,19.3
"10","Illinois","B10",33,12,48.2,53.6,34.5,33,18.4,21.8
"11","San Francisco","WCC",30,21,53.8,49.3,35.4,32,15.1,17.2
"12","Rutgers","B10",31,14,47.2,47,31.2,35.3,19.1,17.4
"13","BYU","WCC",32,19,54.7,48.3,33,36.6,15.3,17.6
"14","Loyola Marymount","WCC",32,22,50.3,50.3,31.6,32.4,19.3,21.6
"15","Santa Clara","WCC",30,16,49.8,49.9,36.2,31.8,20.5,16.3
"16","Pacific","WCC",30,14,44.9,54.1,35.6,36.2,19.6,19.2
"17","Portland","WCC",30,7,45.8,49.2,32.9,37.1,19.9,16.3
